id;name;content;content_content_type;positive_count;negative_count
1;Account Fresh;../fake-data/blob/hipster.png;image/png;14428;38558
2;deposit;../fake-data/blob/hipster.png;image/png;26834;35039
3;Computers migration pricing;../fake-data/blob/hipster.png;image/png;9061;81090
4;Franc Cotton Wooden;../fake-data/blob/hipster.png;image/png;7920;37165
5;Future Wooden;../fake-data/blob/hipster.png;image/png;96498;61512
6;bluetooth Chair;../fake-data/blob/hipster.png;image/png;91971;30571
7;primary;../fake-data/blob/hipster.png;image/png;13490;11095
8;Global navigating;../fake-data/blob/hipster.png;image/png;59037;71835
9;index Central reinvent;../fake-data/blob/hipster.png;image/png;2964;41316
10;Outdoors;../fake-data/blob/hipster.png;image/png;710;95283
